Age Range,Population,Percent of Total Population
0-4,508895,6.021330082169659
5-19,1624354,19.21962606096074
20-34,1781246,21.075998238427136
35-49,1688609,19.97990188294722
50-64,1625883,19.237717442671382
65-74,713897,8.44694776264391
75-84,348205,4.120019338492
+84,160449,1.8984591916879507
